name,state,city,address,lattitude,longitude,type,ac_slow_price,ac_fast_price,dc_slow_price,dc_fast_price
Inspacco Circle Station,Maharashtra,Pune,"Shreenath Society, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045",18.5619,73.7718,12.0,8.153466009238759,13.825236830194935,17.23403237781005,23.58030854970683
Circle Test Station Goa,Goa,Pune,"Isidorio Baptista Rd, Pajifond, Margao, Goa 403601",15.2735,73.959,12.0,8.304607194882186,13.692287383557687,17.45658724959396,19.575650503907244
Mindra D S Fasteners Charging Station,Gujarat,Pune,"National Highway 27 (8B), Opp. 80 ft. Road End, Opp. K.S. Diesels, Rajkot-360 003, Gujarat, India",22.473,70.895,12.0,8.606167438715635,13.953876542009604,15.70834086535302,20.422721468765303
HP Mira Bhayandar DC Charging Station,Maharashtra,Mira Bhayandar,"NH-8, Mashachapada, Mira Road, Mira Bhayandar, Maharashtra",19.2747,72.8856,12.0,7.10864314528414,10.727142563130801,16.319273524387803,21.30534317965555
HP Pitam Pura DC Charging Station,Delhi,New Delhi,"HP PETROL PUMP - AUTO CARE CENTRE PITAM PURA, Pitampura, Delhi, India",28.6962,77.155,12.0,7.8094754070173,12.768475633462419,16.495956666959042,18.673626563364415
HPCL Yapral DC Charging Station,Telangana,Secunderabad,"Hindustan Petroleum Corporation Limited, Jai Jawahar Nagar, Yapral, Secunderabad, Telangana, India",17.502,78.539,12.0,9.14955468327681,12.324799601377105,15.675086790727404,22.071583725977398
HP Super Service DC Charging Station,Maharashtra,Mumbai,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",18.9285,72.8255,12.0,9.150979166719729,11.6243241905279,16.175649527142365,19.21255330658406
Vrundavan Garden DC Charging Station Nashik,Maharashtra,Dindori,"Vrundavan Garden, Nashik Dindori Road,Near Shiv Shakti Bharat Petrol pump,Rantale, Dindori, Maharashtra 422202",20.1704,73.8273,12.0,9.911977959231873,13.125177040720502,15.625973973848302,19.776221122513764
Ganpati Petro DC Charging Station Hisar,Haryana,Sangli,"Ganpati Petro, Indian Oil Corporation, Opp. Vidut Nagar, Delhi Road, Industrial Area, Hisar, Haryana 125011",29.1332,75.7535,12.0,8.158857796272994,14.2618511731841,15.036283064839322,19.368777808274615
Ganpati Petro AC Charging Station Hisar,Haryana,Sangli,"Ganpati Petro, Indian Oil Corporation, Opp. Vidut Nagar, Delhi Road, Industrial Area, Hisar, Haryana 125011",29.1332,75.7535,12.0,7.296996727613434,11.233176037178449,16.534601785355378,19.32454160885892
Ashnni Pilot Circle Station,Maharashtra,Sangli,"Gangaprasad, parshwanath colony, kuthe mala, dhamni road, Sangli, Maharashtra,  416416",16.8433,74.5859,12.0,8.15383729798666,10.493587476868102,15.229843463702709,23.35562682746712
AMC AC Charging Station,Maharashtra,Marunji,"Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pimpri-Chinchwad, Maharashtra 411057",18.5808,73.7399,12.0,8.858520571657856,11.068589879007178,17.895667159476172,19.91055649886702
RSTV Saharanpur AC Charging Station,Uttar Pradesh,Saharanpur,"Nanak Puram Colony, Pushpanjali Vihar, Numaish Camp, Saharanpur, Uttar Pradesh 247001",29.977,77.5753,12.0,9.239059203336009,14.023493086602297,15.24583505573207,18.537145373612198
Mindra EV Charger Shott,Gujarat,Shela,"Shott, Sindhu Bhavan Marg, Opposite Saket-3, Next to SANKALP SQUARE, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",23.0436,72.4825,12.0,8.653476935217533,14.442678163042455,17.940134815135938,21.24997257704549
Highway King Behror Delhi Side DC Charging Station,Rajasthan,Gajraula,"Highway King Behror, NH 8, 3 Kms from behror towards delhi, Behror, Rajasthan 301701",27.9145,76.3146,12.0,9.687401753882426,14.332628133420437,15.488203313114083,21.79602736364176
Suket Cafe DC Charging Station Sundar Nagar,Himachal Pradesh,Gajraula,"Suket Cafe, Pungh, National Highway 21, Sundar Nagar, Himachal Pradesh 175018",31.5153,76.8765,12.0,9.736776255685074,13.541298276420296,15.240278469290253,18.45155900879579
McDonald Gajraula DC Charging Station,Uttar Pradesh,Gajraula,"McDonald Gajraula, NH9-24 Salarpur, Dist, Gajraula, Uttar Pradesh 244235",28.8382,78.2764,12.0,9.03404202802593,14.187916118272113,17.0045155674959,22.497048802255428
Rani Bagh Resort DC Charging Station,Rajasthan,Beawar Khas,"Rani Bagh Resort, N.H.8, By Pass Ajmer Road, Beawar, Rajasthan 305901",26.125,74.3459,12.0,7.930740710179984,10.533850663088376,15.178428361587695,19.97187451011864
Mke Rental Circle Station,Karnataka,Bengaluru,"Mke Rental Private Limited, NH4, Tumkur Road, next to Himalaya Drugs, Makali, Karnataka 560016",13.067,77.45,12.0,7.506674902197167,14.960413326658486,17.133635146897333,19.332720685692863
Waterwoods Lodge & Resort AC Charging Station,Karnataka,Metikuppe,"19, Karapura, N.Belthur Post Office, HD Kote Taluk, Nagarhole National Park, Karnataka 571114",11.9377,76.2655,12.0,9.13216852617789,12.512343298800236,17.382848438247862,22.07244323593008
Kohinoor Altissimo Residential Tower,Maharashtra,Mumbai,"Kohinoor Altissimo Residential Tower, Kohinoor Altissimo, Kasaravadi, Dadar, Mumbai, Maharashtra 400028",19.0246,72.8402,12.0,7.1435820542083,11.451771486351412,17.849864648655682,19.968134473598404
Hotel Pramila DC Charging Station Haridwar,Uttarakhand,Haridwar,"Hotel Pramila, Near Vishwakarma Ghat, NH-58,Delhi Haridwar ByPass, Road, Haridwar, Uttarakhand 249407, Phone No 9310843937",29.9324,78.1423,12.0,8.087787925748952,13.36864596808802,17.00276669344353,22.95958739182629
P G Regency Resort Charging Station,Maharashtra,Mahad,"PG Regency,Govind Garden,103/1B, Plot no.4, Mumbai Goa HighWay, Mahad-Raigad, Mahad, Maharashtra 402301 Ph no. 7039892236",18.0855,73.4309,12.0,9.501281666860514,10.7607234481461,16.53495272344428,21.744356623918353
Suket Cafe AC Charging Station Sundar Nagar,Himachal Pradesh,Bengaluru,"Suket Cafe, Pungh, National Highway 21, Sundar Nagar, Himachal Pradesh 175018",31.5153,76.8765,12.0,9.778561995430854,11.433782106153775,16.106453610155267,20.283896017607184
The Forum Fiza Mall AC Charging Station Mangalore,Karnataka,Thane,"Basement parking (B1), The Forum Fiza Mall, Mangaladevi Temple Road, Pandeshwar, Mangalore - 575001",12.8576,74.8383,12.0,8.181248765062985,11.206871390780218,17.208385903958863,23.905066705534807
MSHSD Gojer Service Charging Station    ,Karnataka,Bengaluru,"Bettadasanapura, Bengaluru, Karnataka 560100",12.8427,77.64,12.0,7.982941569973493,14.277475501641042,16.266178754022405,22.78820168302979
Evershine Mall Charging Station,Maharashtra,Mumbai,"Chincholi Bunder Road, New Link Rd, Malad West, Mumbai, Maharashtra 400064",19.1798,72.8361,12.0,9.269474663965191,13.562469066830268,17.16696182704641,22.27807306460938
HP Loyal Pump and Pantry Fuel Charging Station,Telangana,Secunderabad,"42-601, SP NAGAR, ECIL Main Rd, SSS Tower, MJ Colony, Moula Ali, Secunderabad, Telangana 500040",17.4677,78.5641,12.0,7.803272252541873,14.357641837840884,16.067201411689116,19.4395295645214
Hotel Reddison Square Katra AC Charging Station,Delhi,New Delhi,"Hotel Reddison Square, near shrine board central office, Katra, Jammu and Kashmir 182301, Phone No 9310843937",32.9867,74.9238,12.0,7.612980003730204,12.912380037013856,16.165536436673637,23.045999025142713
Hotel Mount View International AC Charging Station,Delhi,New Delhi,"Hount Mount View International, Jammu Rd, Vaishnodevi, Katra, Jammu and Kashmir 182301",32.9918,74.9306,12.0,7.34529158918975,11.698849372523664,16.742319415486655,22.422653346649078
Hotel Dolphin AC Charging Station,Delhi,New Delhi,"Hotel Dolphin, Railway Rd, Katra, Jammu and Kashmir 182301",32.9892,74.9289,12.0,7.789343236078133,10.337113907469744,17.639730812330445,23.332412945769303
"DMIPL EV Charging Station, Ludhiana",Punjab,Natt,"Dalbir Makkar India Pvt. Ltd., Ludhiana-Malerkotla Road, Opp. J K Resort, Rania, Ludhiana - 141122 (Punjab), Phone no 9814215411, 9316916147",30.8219,75.8668,12.0,7.887533074203552,12.186977903642262,15.620075157598018,21.183504237738997
Z Charging Station,Gujarat,Vadodara,"Sai Vihar, Abbas Tyabji Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",22.3213,73.1881,12.0,8.89839201258064,14.8791367796117,17.46535433469439,18.401676784976985
VEEV Brookfields,Tamil Nadu,Coimbatore,"67-71, Dr Krishnasamy Mudaliyar Rd, Ram Nagar, Coimbatore, Tamil Nadu 641001",11.0096,76.9589,12.0,9.44485312916649,12.3593625054376,17.47001957081841,18.07387018816466
Lake Pleasant Cottage Charging Station,Uttarakhand,Bhimtal,"Naukuchiyatal  Bhimtal, Near GD Goenka School 263136 - UK",29.3237,79.5921,12.0,8.525057337475502,11.8502856538391,17.34367394805927,23.654292397617564
Nandavan DC Charging Station Nagoan,Maharashtra,Nagaon,"Nandavan, Mahajan Wadi, Near Bhimeshwar Mandir, At Post Nagaon, Taluka Alibag, Dist. Raigarh, Pin 402204, Phone no Kedar Bane, +919923724004, Prashant Mahajan - +919619174428",18.6184,72.9004,12.0,9.48513995137673,14.321073184250771,15.017258497218974,20.212525440979007
Uniworld Garden Charging Station,Haryana,Gurugram,"Plot No 1025, 2nd Floor, C block , sector 47, Haryana 122008",28.4273,77.0389,12.0,8.186901939240242,10.6153437051388,16.762954860553464,20.454477297180986
Unnati Social Foundation,Maharashtra,Pimpri-Chinchwad,"Unnati Social Foundation Jarvari Society, Opposite PK International School, Pimple Saudagar, Pune",18.5948,73.7975,12.0,9.115231666884947,11.340314055518899,15.951200579581721,21.589199710756397
"HP PETROL PUMP - SAI PETROLEUM,MUMBAI",Maharashtra,Bengaluru,"Village Katai gao, Kalyan - Shilphata Rd, Dombivli East, Mumbai, Maharashtra 421203",19.1709,73.0819,12.0,7.7035002309284115,11.803586046482916,15.071433579979024,21.290691668065826
"ShriSamarth DC Charging Station, Beed",Maharashtra,Bengaluru,"EV Charging Station, Near Mancott Jining Gevrai Road, NH 61, Phule Pimpalgaon, Maharashtra 431142",19.1779,76.168,12.0,7.554545595054869,11.685008128301233,15.871462223229141,20.067729363291193
CNV Enterprises - HP Petrol Pump,Karnataka,Bengaluru,"No 65/20,Nallurahalli Siddapura main road,Nallurahalli main rd., Whitefield, Bengaluru,Karnataka-560066.",12.9653,77.7331,12.0,8.340658429495779,14.226610943666305,15.419249606751338,21.673144073653262
Unity Mall Charging Station Vasai,Maharashtra,Vasai-Virar,"Unity Mall, Stella Road, next to Big Bazzar, Bhabola, Vasai West, Maharashtra 401201",19.3593,72.8123,12.0,9.747148256430043,12.857733320361156,17.854388467948738,20.362469273034908
Advant IT Park DC Charging Station Noida,Maharashtra,Greater Noida,"Advant IT Park, Plot No. 7, Noida-Greater Noida Expy, Sector 142, Noida, Uttar Pradesh 201305",28.5007,77.4102,12.0,8.650988641141653,10.15503750186535,17.719399892531776,19.604612362045533
Trimurtys Ariana AC Charging Station,Rajasthan,Jaipur,"Trimurtys Ariana, Khasara No 211-213, Sector 30, Ramnagaria, Tehsil, Sanganer, JDA Colony, Jagatpura, Jaipur, Rajasthan 302017",26.8312,75.8663,12.0,9.96427830823512,13.700092706753184,17.247328086710247,19.6714518151659
Nandi Park Apartments,Karnataka,Bengaluru,"Nandi Park Apartments Gottigere, Bengaluru, Bangalo Karnataka, Indiare, Bangalore, Karnu0101taka",12.8585,77.593,12.0,8.787357311801802,12.126656034212832,16.223511408609262,19.182255457018375
Crowne Plaza Jaipur,Rajasthan,Jaipur,"Plot No SP 1, Sitapura Industrial Area, Tonk Road, Jaipur, Rajasthan, 302022 ",26.7797,75.8282,12.0,8.982495607375501,13.226339256818617,15.467041523010328,23.27214652313963
Pendse Garage AC Charging Station,Maharashtra,Nashik,"Pendse Garage, At post diveagar tal Shriwardhan dist raigad 402404 Phone: 9423837934",18.1655,72.9929,12.0,8.017346653709614,13.623108983389034,16.375870485392127,19.39740701748033
Hans Resort DC Charging Station Rewari,Karnataka,Nashik,"Hans Resort, 91 Milestone, Delhi-Jaipur Highway, near Kasola Chowk, Rewari, Haryana 123401",28.1254,76.6368,12.0,8.16510299088276,12.870501286539518,17.780186330067636,22.843017517902425
Saviruchi Veg DC Charging Station Mysore,Karnataka,Nashik,"Saviruchi Veg, Sri Venkateshwara Arcade, Malavalli, Karnataka 571430",12.3847,77.0532,12.0,7.105973981573083,11.505919342250227,15.391799403930985,20.84768143515094
ElectriVA Test Station,Delhi,New Delhi,"3409/1, 3rd Floor, Desh Bandhu Gupta Rd, Karol Bagh, New Delhi-110005",28.6539,77.1905,12.0,7.622772523813645,10.188326010962275,16.1182375480117,18.294945515164862
Sarode Motors Ac EV Charging Station Nashik,Maharashtra,Nashik,"Sarode Motors | Joy eBike, Shop No.01, Beside of Hotel Happy Foods, Sarode Motors, nearby Balbharati, Lekha Nagar, Nashik, Maharashtra 422010",19.9758,73.776,12.0,7.7665271815405905,11.337704785642888,17.09632654475036,21.370850457167045
The Nile AdPod,Haryana,Gurgaon,"The Nile, Sohna, Gurgaon - Delhi Expy, Rosewood City, Ghasola, Sector 49, Gurugram, Haryana 122018",28.4113,77.051,12.0,8.777317548792102,12.127252099898453,17.2404466448717,23.576688141368813
Hotel Daulat Nikol Fast Charging Station,Maharashtra,Nashik,"Hotel Daulat Food Mall, Mumbai Agra Highway, Shirwade (Vani) Tal: Niphad, Dist: Nashik",20.2137,74.041,12.0,7.644187269635186,11.441681851842754,17.163467405154275,20.579447879051454
New Udaan Bhawan AdPod 1,Haryana,Gurgaon,Indira Gandhi International Airport,28.553,77.0944,12.0,7.031944081597987,12.073988658010322,16.4892575473539,19.953904939179942
New Udaan Bhawan AdPod 2,Haryana,Gurgaon,Indira Gandhi International Airport,28.5537,77.0943,12.0,8.174154844922594,10.35719979757782,15.07326004341833,21.908512036449256
TDPL EV Charging Station 1,Rajasthan,Jaipur,,26.9159,75.723,12.0,7.8507901246677285,14.436258541617653,17.326010695574425,20.77229818452655
Hotel The Executive Inn AC Charging Station,Maharashtra,Shirdi,,19.7592,74.4763,12.0,9.942960425784769,11.481942152473783,17.40603790515806,19.425655637736394
Hotel Bliss County DC Charging Station,Maharashtra,Dhule,,20.8292,74.7485,12.0,9.512629715192983,14.064305643063737,15.616642401179568,23.65217644605964
Savoy Suites Manesar,Haryana,Gurugram,,28.3664,76.9436,12.0,8.704831498132835,13.080125563185462,16.90616733186242,23.829505626998618
MV EV DC Charging Station,Maharashtra,Dahanu,,19.9883,72.7488,12.0,7.156510998929013,13.162499514364537,16.044149878605715,23.964399753387237
Jamoliwala AC Charging Station,Uttarakhand,Dehradun,,78.0654,30.3886,12.0,7.749125359741767,10.866695658102563,16.008196805452073,18.06857397258474
TDPL EV Charging Station 2,Rajasthan,Jaipur,,26.8807,75.6143,12.0,8.620711465473068,13.436754114281445,16.951088067463104,20.64709564077382
Bhajan Singh Da Dhabha DC Charging Station,Maharashtra,Talegaon Dabhade,,18.7005,73.6933,12.0,7.88256625477769,12.489253053741553,17.861067894355646,23.65017596286917
Hotel Prabhat Palace DC Charging Station,Jammu and Kashmir,Katra,,32.9899,74.9255,12.0,8.453482402347309,13.313972901034333,17.52076394146227,22.128854067344275
TSREDCO Test Charging Station,Telangana,HYDERBAD,,17.4123,78.4598,12.0,9.961000477862989,13.984972075947839,15.247763544294358,23.98569598691103
TSREDCO Test Charging Station 1,Telangana,HYDERBAD,,17.4125,78.4603,12.0,7.845527934567322,12.56780983172868,16.703258013058427,21.662915249305826
Mehak Garden Charging Station,Haryana,Sirsa,,29.528,75.1325,12.0,9.212130920640988,13.934243740180076,17.291731494171245,23.311997553320804
Savoy Suites Noida,Uttar Pradesh,Noida,,28.5801,77.3152,12.0,8.239897730496082,14.254044059806482,15.937380878846362,19.331860599301994
Savoy Suites Greater Noida,Uttar Pradesh,Greater Noida,,28.4648,77.5084,12.0,9.394674955032416,14.555998369058514,16.024004274688803,23.332141293594503
Hotel Highway King Shahpura DC Charging Station,Rajasthan,Shahpura,,27.487,76.0523,12.0,7.991072224656966,11.49345609057064,16.891002448182824,23.287867456143303
Aman Hotel Kurukshetra DC Charging Station,Haryana,Shabhad,,30.2059,76.8575,12.0,9.867590211170942,13.026654553066503,17.543383847958022,19.90431294045498
Evershine Tower Jaipur DC Charging Station,Rajasthan,Jaipur,,26.9121,75.7433,12.0,7.7356873151279,12.557447934700194,16.465153482579733,19.348662540988343
Hotel Shree Veg Solapur DC Charging Station,Maharashtra,Bhadalwadi,,18.3289,74.7794,12.0,7.912778489790382,14.650506524360544,16.030570400061485,21.537665319172188
Subway Alwar DC Charging Station,Rajasthan,Alwar,,28.1967,76.8128,12.0,8.3854274467881,10.14883752123316,17.908826235225266,22.727131975053386
Asli Pappu Dhaba Kosi Kalan DC Charging Station,Uttar Pradesh,Kosi Kalan,,27.8327,77.4194,12.0,7.914320018671161,13.784358696492571,15.68693027026843,20.919045128220766
140% Veg Gulshan Dhaba Kotwan DC Charging Station,Uttar Pradesh,Kotwan,,27.8468,77.4082,12.0,9.61339578767403,11.53531136725288,16.84756221254885,22.716592935457104
Synrgy Ebikes Charging Station,Maharashtra,Nashik,,19.9705,73.7528,12.0,9.176541809258714,13.44985248575189,15.238142549568646,20.150136797141215
ChargePit eMobility Charging Station,Maharashtra,Pune,,18.5996,73.7809,12.0,8.424194653513823,14.541468661958927,17.528277266565137,20.56885896456074
MESCOM Shivamogga Charging Station 1,Karnataka,Shivamogga,,13.9419,75.5816,12.0,7.494412264806369,12.06796499647805,16.625675693667613,21.759535702095878
MESCOM Mudigere Charging Station,Karnataka,Karadagodu,,13.1459,75.6419,12.0,9.582692702723957,10.635358756400167,15.559070610542525,23.921541762646225
Karkala Charging Station,Karnataka,Karkala,,13.2244,74.9802,12.0,7.97159385827637,10.306837325570683,15.146805309575747,20.42123399663218
MESCOM Surathkal Charging Station,Karnataka,Surathkal,,12.9875,74.8048,12.0,9.1759012153044,11.619554014950957,16.530988990447316,22.789747955813674
Kaup Charging Station,Karnataka,Kaup,,13.2338,74.7471,12.0,8.336444235722348,13.610279477305458,17.584664407175957,19.53593533585918
Bramavara Charging Station,Karnataka,Bramavara,,13.4381,74.7433,12.0,8.990419798909759,14.859052315557829,17.62623005684771,19.33702827089846
Kundapura Charging Station,Karnataka,Kundapura,,13.6186,74.6919,12.0,7.267078764457569,13.369567280696412,17.115152633340035,19.261058378781886
Manipal Charging Station,Karnataka,Manipal,,13.3334,74.7884,12.0,8.701780939370476,11.373776924083085,17.69848450713198,22.681786652965208
MESCOM Aldur Charging Station,Karnataka,Chikkamagaluru,,13.3319,75.7731,12.0,8.276184003340326,14.929258131709414,17.88375533831823,22.177638531898495
Statiq RnD Centre DC Charging Station,Haryana,Gurgaon,,28.4997,77.0839,12.0,9.954773159965493,12.01634911959125,17.67958029490982,20.35838137899803
Park Plaza Gurgaon DC Charging Station,Haryana,Gurugram,,28.4597,77.0758,12.0,7.857173652185461,13.410961430911644,16.69956213475073,23.6532843850646
PADMASHREE Charging Station,Karnataka,Mudbidri,,13.074,75.0025,12.0,7.629028365003863,12.546509095818642,15.399764874994244,23.40126676213802
Monsoon Breeze AdPod,Haryana,Gurugram,,28.3687,76.966,12.0,9.437335244393722,10.388255815448499,17.099570123932722,23.76116619783334
Decathlon Anubhava,Maharashtra,bengaluru,"Survey No 78/10, A2, Bellary Road, Bangalore Airport Road, Chikkajala,",13.169102,77.632018,6.0,7.871097881419871,14.1726122687502,17.57134956591532,23.40651299434262
Forum Shantiniketan,Maharashtra,bengaluru,"Whitefield Main Road, Hoodi, Thigalarapalya, Krishnarajapura, Bengaluru, Karnataka ",12.9892355,77.7279077,6.0,7.596387690314421,13.013425836991805,16.244305184953326,18.911085366038467
